['127.0.0.1:3000']
# Stats from 127.0.0.1:3000
# [n], [mean], [std.], [min], [max]
1, 113.336, 91.754, 5.779, 996.606
2, 216.948, 113.0, 8.32, 997.163
3, 256.652, 123.958, 10.833, 994.735
4, 311.332, 112.858, 83.956, 998.365
5, 332.178, 122.406, 9.466, 990.764
6, 395.291, 139.604, 5.966, 988.914
7, 359.424, 119.164, 6.976, 715.348
8, 424.242, 103.873, 72.362, 897.171
9, 432.556, 137.842, 10.227, 995.461
10, 497.562, 155.868, 5.303, 994.809
11, 480.991, 145.775, 5.439, 827.086
12, 535.171, 161.317, 89.796, 985.633
13, 608.374, 122.096, 94.694, 999.4
14, 667.337, 135.315, 66.439, 993.726
